specification,k,method,replicate,held_out_cycle,ari
expanded8_recent_equal,8,bootstrap_refit,11,,0.5319869826527697
expanded8_recent_equal,8,bootstrap_refit,12,,0.6039267046817378
expanded8_recent_equal,8,bootstrap_refit,13,,0.5682700867087195
expanded8_recent_equal,8,bootstrap_refit,14,,0.8558378185911073
expanded8_recent_equal,8,bootstrap_refit,15,,0.6787578203542729
expanded8_recent_equal,8,bootstrap_refit,16,,0.6570345941202762
expanded8_recent_equal,8,bootstrap_refit,17,,0.6440115292920524
expanded8_recent_equal,8,bootstrap_refit,18,,0.6621409418758131
expanded8_recent_equal,8,bootstrap_refit,19,,0.5624352251660609
expanded8_recent_equal,8,bootstrap_refit,20,,0.574443200507582
expanded8_recent_equal,8,bootstrap_refit,21,,0.6477633586983235
expanded8_recent_equal,8,bootstrap_refit,22,,0.48854349610826364
expanded8_recent_equal,8,bootstrap_refit,23,,0.5520001234025187
expanded8_recent_equal,8,bootstrap_refit,24,,0.42874170092877867
expanded8_recent_equal,8,bootstrap_refit,25,,0.6350697164750733
expanded8_recent_equal,8,bootstrap_refit,26,,0.48254880084128304
expanded8_recent_equal,8,bootstrap_refit,27,,0.4867587663153074
expanded8_recent_equal,8,bootstrap_refit,28,,0.5175094744613206
expanded8_recent_equal,8,bootstrap_refit,29,,0.5520287673160401
expanded8_recent_equal,8,bootstrap_refit,30,,0.600766522111973
expanded8_recent_equal,8,leave_cycle_out,1,2015-2016,0.7865337752460583
expanded8_recent_equal,8,leave_cycle_out,2,2017-2018,0.7407936053486515
expanded8_recent_equal,8,leave_cycle_out,3,2021-2023,0.3139430644363987
expanded8_recent_equal,9,bootstrap_refit,1,,0.493161558565998
expanded8_recent_equal,9,bootstrap_refit,2,,0.4321506101758574
expanded8_recent_equal,9,bootstrap_refit,3,,0.6141560060391423
expanded8_recent_equal,9,bootstrap_refit,4,,0.6143769868428082
expanded8_recent_equal,9,bootstrap_refit,5,,0.506543158825393
expanded8_recent_equal,9,bootstrap_refit,6,,0.5191085090942404
expanded8_recent_equal,9,bootstrap_refit,7,,0.5273582521425358
expanded8_recent_equal,9,bootstrap_refit,8,,0.5142176463321829
expanded8_recent_equal,9,bootstrap_refit,9,,0.5145650144627713
expanded8_recent_equal,9,bootstrap_refit,10,,0.5283222128786419
expanded8_recent_equal,9,bootstrap_refit,11,,0.4998505860730704
expanded8_recent_equal,9,bootstrap_refit,12,,0.5689513953352994
expanded8_recent_equal,9,bootstrap_refit,13,,0.5851928772122136
expanded8_recent_equal,9,bootstrap_refit,14,,0.6097895979054381
expanded8_recent_equal,9,bootstrap_refit,15,,0.49564076103198157
expanded8_recent_equal,9,bootstrap_refit,16,,0.41520969722576656
expanded8_recent_equal,9,bootstrap_refit,17,,0.5991858880993747
expanded8_recent_equal,9,bootstrap_refit,18,,0.4809617229257087
expanded8_recent_equal,9,bootstrap_refit,19,,0.5368954634121548
expanded8_recent_equal,9,bootstrap_refit,20,,0.5443116427602114
expanded8_recent_equal,9,bootstrap_refit,21,,0.5012385601857194
