specification,k,centroid_id,n,share_percent,z_bmi,z_triglycerides,z_ldl,z_hdl,z_age,z_waist_circumference,z_fasting_insulin,z_crp
expanded8_recent_equal,2,K02-C02,364,50.0,0.6524287566482797,0.48506538173496344,0.027630656356184977,-0.4905559332515388,-0.04060569837551402,0.7011635580519661,0.622879398928966,0.5280289807143453
expanded8_recent_equal,2,K02-C01,364,50.0,-0.6524287566482764,-0.485065381734968,-0.027630656356184755,0.4905559332515388,0.04060569837551451,-0.701163558051967,-0.6228793989289676,-0.5280289807143442
expanded8_recent_equal,3,K03-C03,189,25.961538461538463,1.223570999755649,0.17971385443877097,-0.2710731375702677,-0.48072153364051007,-0.3095557869985186,1.1617602041765738,0.9393102483031512,0.8578597801065165
expanded8_recent_equal,3,K03-C02,315,43.269230769230774,-0.17886037053967888,0.4767796702617437,0.2998898890397475,-0.35766373330941326,0.22483525581997707,-0.08916579100553618,0.04614346657052648,0.011515702317657637
expanded8_recent_equal,3,K03-C01,224,30.76923076923077,-0.7808656349723999,-0.8221049759882969,-0.19300219663723128,0.9085734189755423,-0.05498688321684191,-0.8548457786724502,-0.8574322718705888,-0.7400131458490774
expanded8_recent_equal,4,K04-C03,186,25.549450549450547,0.1392210683556166,1.0985895085125736,0.42472746351863855,-0.7063016676064127,0.17993127204891857,0.29181325047892476,0.5104834737267909,0.23509003143839172
expanded8_recent_equal,4,K04-C01,119,16.346153846153847,-0.975318220380054,-1.0535900926501285,-0.3821913671079815,1.457115796683766,0.06520797445009072,-1.0542528203125536,-1.1110955373246527,-0.8492651305205263
expanded8_recent_equal,4,K04-C02,277,38.04945054945055,-0.4166694411846918,-0.23154199942774628,0.07060665453137394,0.02309558828571124,0.032333081365918205,-0.42073226836239996,-0.30532019040271435,-0.3057496388115794
expanded8_recent_equal,4,K04-C04,146,20.054945054945055,1.408117703556456,-0.1015294090170497,-0.3635382111904622,-0.3316585451076538,-0.34372074725355334,1.285764790167797,0.8345488737671365,0.9727976344877379
expanded8_recent_equal,5,K05-C03,161,22.115384615384613,0.16138102972630314,-0.18225850597503282,-0.14470926667058112,0.045467499700457756,0.7275481869804095,0.23820718096291052,-0.0200726083258323,0.3976704044414494
expanded8_recent_equal,5,K05-C02,189,25.961538461538463,-0.5915461706297392,-0.20537606577341003,0.12128523748649069,-0.07354498842732166,-0.43337810179792613,-0.6532748293105041,-0.44294125554946534,-0.5983517776604503
expanded8_recent_equal,5,K05-C05,114,15.659340659340659,1.571800207864342,-0.005952860994954482,-0.3652009932913693,-0.4407346456552664,-0.5911572286891379,1.422922651611726,1.0159511691514589,1.0126187667435742
expanded8_recent_equal,5,K05-C01,113,15.521978021978022,-0.9678019966615258,-1.0693883527145658,-0.34374904062283684,1.5600015307006747,0.21192820689025774,-1.0166176698299705,-1.058436090921427,-0.8264766443362325
expanded8_recent_equal,5,K05-C04,151,20.741758241758244,0.1059356449622819,1.2561536814789669,0.5354426283086988,-0.7911038940628198,0.05441880680744988,0.2502132517331546,0.600877034636837,0.17891968386741078
expanded8_recent_equal,6,K06-C02,163,22.39010989010989,-0.6781890680972029,-0.21873342865840006,0.09041633240554695,-0.0971373581227007,-0.4822113518127781,-0.750059432659096,-0.4838696500935267,-0.6590594128799176
expanded8_recent_equal,6,K06-C04,114,15.659340659340659,0.022435103825312094,1.1833900316778847,1.0942690997272269,-0.6321297912273459,0.08087895243684316,0.18778914056675994,0.2655488008719409,0.1511595073216773
expanded8_recent_equal,6,K06-C03,145,19.917582417582416,0.10809146012538473,-0.3575984110464161,0.12056419002404838,0.24409252535309625,0.6474041863985723,0.14316432378049107,-0.1784059309080514,0.30316712540344
expanded8_recent_equal,6,K06-C01,106,14.560439560439562,-0.9856557724758872,-1.0913564395336164,-0.40755023598082035,1.606393085503112,0.18757789595481275,-1.0358520285890438,-1.0801392603387472,-0.8206379545793903
expanded8_recent_equal,6,K06-C05,104,14.285714285714285,0.3688309368392135,0.8279097899422807,-0.9042010447740378,-0.809627898422908,0.3086033076539082,0.49916248981375905,0.9979386155936185,0.20391479367605905
expanded8_recent_equal,6,K06-C06,96,13.186813186813188,1.6503650937160912,-0.18562479897567372,-0.20551159827112594,-0.3497249607252997,-0.7965766482013197,1.4372949441714407,0.8872520335591813,1.1668307492121064
expanded8_recent_equal,7,K07-C01,93,12.774725274725274,-0.9807615529191178,-1.1436718780997812,-0.5016285777104147,1.7263856983497121,0.08192454342500725,-1.0341617345213172,-1.0934105185258574,-0.8106246827151107
expanded8_recent_equal,7,K07-C05,110,15.10989010989011,0.03996942227280009,1.1954335563695166,1.1005112857013042,-0.6442530513080541,0.05502687367736375,0.21372967557771108,0.2825277603329884,0.17141343226131037
expanded8_recent_equal,7,K07-C03,98,13.461538461538462,-0.29399969760681294,-0.4477428281768558,-0.3440201492007793,-0.058345513668953054,-1.1588092874497933,-0.3422433148376324,-0.2527137340843912,-0.32474441517190666
expanded8_recent_equal,7,K07-C04,116,15.934065934065933,0.1772778445642877,-0.32607398790107245,0.1449869340290314,0.2711375691290876,0.7174840210087271,0.21344453865286975,-0.15747557005345592,0.4813723498451036
expanded8_recent_equal,7,K07-C02,120,16.483516483516482,-0.8154824357249781,-0.12317343793986663,0.4151821664361184,-0.00044821821290045075,0.3935594521440119,-0.8778552769901022,-0.603085834058775,-0.8400047732953502
expanded8_recent_equal,7,K07-C06,100,13.736263736263737,0.3738036572356511,0.8680027923825046,-0.8844764302257122,-0.81591051371072,0.34839689206191216,0.514908756748851,1.0225953842339544,0.22130916809258996
expanded8_recent_equal,7,K07-C07,91,12.5,1.7092247794605908,-0.1698054226920762,-0.20751110302779244,-0.3711570815981756,-0.7187208612466013,1.486800142101278,0.9203626188615861,1.2218465278544997
expanded8_recent_equal,8,K08-C02,119,16.346153846153847,-0.7985460795413046,-0.1285081996263473,0.4065603313298543,-0.004259820152370768,0.42333431031884144,-0.8732965125499067,-0.6078006979883971,-0.8151234265559472
expanded8_recent_equal,8,K08-C08,52,7.142857142857142,2.133295022321124,-0.3274301834001743,-0.41423490105764754,-0.2102845447029384,-0.11301919381184766,1.697567586230711,0.8457967584831861,1.4877035560174101
expanded8_recent_equal,8,K08-C07,67,9.203296703296704,0.9088040246065207,0.42617630376992377,0.22764977173835962,-0.6849082186226962,-1.373785724691588,0.9608773602007663,0.9816758051359608,0.7263724794307701
expanded8_recent_equal,8,K08-C04,112,15.384615384615385,0.18992419089221413,-0.3322100149790706,0.1471885439001109,0.2904373016303488,0.7038321051755799,0.23491771086041385,-0.16233205957252816,0.4975068438307912
expanded8_recent_equal,8,K08-C01,94,12.912087912087914,-0.9825149162220893,-1.1460692722838774,-0.48531569980760086,1.7197412416738664,0.09209717971978354,-1.0330378815741652,-1.091077434990134,-0.8151361984123121
expanded8_recent_equal,8,K08-C06,95,13.049450549450551,0.3461637089316702,0.7581029979230742,-0.9471215982931737,-0.7809007205963461,0.46249178069037444,0.5056741039598496,0.9540502166706206,0.18296784162186053
expanded8_recent_equal,8,K08-C03,94,12.912087912087914,-0.35840060479033997,-0.454079619601276,-0.30674822580732536,-0.03494171769422165,-1.1343677014265987,-0.4087646828919646,-0.2860832631023581,-0.3553828181426801
expanded8_recent_equal,8,K08-C05,95,13.049450549450551,-0.05163400102302265,1.256492270020276,1.1142362594643906,-0.625094726417129,0.23948813473474354,0.13104847308688933,0.20604314088939096,0.08313918756247543
expanded8_recent_equal,9,K09-C03,82,11.263736263736265,-0.31941440734736537,-0.543361487904268,-0.2290326017867415,-0.02797972229398899,-1.2960810717257623,-0.3775066651707786,-0.3006443078491609,-0.2895864220162716
expanded8_recent_equal,9,K09-C01,93,12.774725274725274,-1.0172697852885315,-1.163426856128123,-0.5412477969614593,1.6331744269316093,0.08987103493505409,-1.0786996607852306,-1.0594053701037738,-0.8890841827508528
expanded8_recent_equal,9,K09-C04,93,12.774725274725274,-0.24451220013593944,0.1511187000178466,-0.7930499459792092,-0.28558276566143953,0.5534163730211215,-0.16366509844465849,0.02201871217513406,-0.41590540522782776
expanded8_recent_equal,9,K09-C09,41,5.631868131868132,2.34960160864037,-0.3684652104843321,-0.3828067096765682,-0.20848666676991132,-0.4038451286403781,2.0103122201894834,0.8101301326920205,1.4515736556201666
expanded8_recent_equal,9,K09-C05,96,13.186813186813188,0.23080167163283152,-0.3547875163637001,0.3784500143656824,0.485688985487966,0.6250175725647729,0.259078830424439,-0.2387768050609755,0.6504455461405728
