specification,k,n,silhouette,davies_bouldin,calinski_harabasz,inertia,gmm_bic,min_cluster_n,min_cluster_share_percent,bootstrap_ari_median,bootstrap_ari_q1,bootstrap_ari_q3,leave_cycle_out_ari_median,flag_small_or_unstable
expanded8_recent_equal,2,728,0.22123315818964612,1.605403844140355,252.17840142024116,4322.548927538104,14377.942767978742,364,50.0,0.9191695268502937,0.8723042852994041,0.9484180874917794,0.9480572973250764,False
expanded8_recent_equal,3,728,0.1633507463989407,1.8028273878232959,193.67473230647775,3795.929367817149,14446.27406623077,189,25.961538461538463,0.8520435115856984,0.7883745779414751,0.91008290277799,0.9726296325035925,False
expanded8_recent_equal,4,728,0.13864305094515592,1.9069300629642882,158.21403085746869,3517.7940322042305,14470.420930678994,119,16.346153846153847,0.5129254962346879,0.3859918693407694,0.6452784265945255,0.6916128753419425,True
expanded8_recent_equal,5,728,0.1360274658552285,1.8360974669629315,140.99795934356155,3271.778326575004,14658.086477632538,113,15.521978021978022,0.5263456248836229,0.4690643017373385,0.699809965292733,0.6465831075027046,True
expanded8_recent_equal,6,728,0.13921392955614925,1.7684527521179316,129.66010040813688,3068.6174264242923,14788.719023428705,96,13.186813186813188,0.491652279354613,0.4453437342159824,0.5842784735913871,0.6084088103048305,True
expanded8_recent_equal,7,728,0.13703047756551445,1.682189080854608,121.5836036318741,2894.9323026708985,14971.032937694505,91,12.5,0.582501031692017,0.5263955280049476,0.7159690841019003,0.864354695613139,True
expanded8_recent_equal,8,728,0.13542802861785738,1.688045885208607,112.86248378838,2776.9378675235757,15200.314215330194,52,7.142857142857142,0.6023466133968554,0.536990267840207,0.6608643549369289,0.7407936053486515,True
expanded8_recent_equal,9,728,0.12885531002798717,1.652490581440337,105.2027658569615,2683.1966098268754,15284.697886609967,41,5.631868131868132,0.5103804025787879,0.4929767775265924,0.5454594506938337,0.6155902737477801,True
expanded8_recent_equal,10,728,0.13126709281634868,1.630790948795348,100.09163606755655,2583.128325404447,15478.459681496464,41,5.631868131868132,0.5222297457238871,0.46734938212650384,0.5436516189239747,0.674378600967674,True
expanded8_recent_equal,11,728,0.13501800954641702,1.593126551547787,95.1053000153683,2503.4024695949533,15835.339854662878,11,1.510989010989011,0.49254372162633875,0.44574189653004487,0.5282393481779235,0.597253608967382,True
expanded8_recent_equal,12,728,0.13230904162611914,1.6293460504692565,91.4541589651195,2421.599474534553,15964.55169860195,10,1.3736263736263736,0.48386389074518943,0.44059108394058644,0.5593637119519385,0.44414658656670564,True
expanded8_recent_equal,13,728,0.12562295997346862,1.6757665500140686,87.30043613365841,2362.5029136477565,16166.462821372112,19,2.60989010989011,0.42464744113454694,0.38978615604182354,0.46368058485544195,0.4566949518476667,True
expanded8_recent_equal,14,728,0.12997075668195482,1.6254246547499047,84.0563297573927,2301.578396685951,16399.453135674485,8,1.098901098901099,0.43810686715622066,0.4077486373355586,0.494609190576697,0.4550880464843578,True
expanded8_recent_equal,15,728,0.12668257683981668,1.6307466584771009,81.07555137399054,2246.960122932187,16505.89519775738,11,1.510989010989011,0.45131907236388247,0.4084977714254783,0.48622468629343735,0.47681278311906156,True
