strategy,threshold,sensitivity,specificity,ppv,npv,accuracy,f1,prevalence,tp,fp,tn,fn
multiclass_argmax,,0.7452316076294278,0.5903426791277259,0.6753086419753086,0.6696113074204947,0.6729651162790697,0.7085492227979274,0.5334302325581395,547,263,379,187
multiclass_tuned_thresholds,,0.9604904632152589,0.1791277258566978,0.5722402597402597,0.7986111111111112,0.5959302325581395,0.7171922685656155,0.5334302325581395,705,527,115,29
at_risk_probability_0.20,0.2,0.9945504087193461,0.045171339563862926,0.5435591958302308,0.8787878787878788,0.5515988372093024,0.7029369282619162,0.5334302325581395,730,613,29,4
at_risk_probability_0.30,0.3,0.9768392370572208,0.12305295950155763,0.56015625,0.8229166666666666,0.5784883720930233,0.7120158887785502,0.5334302325581395,717,563,79,17
at_risk_probability_0.40,0.4,0.9455040871934605,0.2616822429906542,0.5941780821917808,0.8076923076923077,0.626453488372093,0.729758149316509,0.5334302325581395,694,474,168,40
at_risk_probability_0.50,0.5,0.8692098092643051,0.4143302180685358,0.6291913214990138,0.7348066298342542,0.6569767441860465,0.7299771167048055,0.5334302325581395,638,376,266,96
at_risk_probability_0.60,0.6,0.7574931880108992,0.5794392523364486,0.6731234866828087,0.6763636363636364,0.6744186046511628,0.7128205128205128,0.5334302325581395,556,270,372,178
