cluster,bmi,triglycerides,ldl,hdl,age,systolic,diastolic,bmi_category,tg_hdl_ratio,smoking_encoded,activity_encoded,alcohol_encoded,metabolic_syndrome_score,waist_circumference,family_history_diabetes,race_encoded,diabetes_label
0,0.063,-0.2789,-0.0247,0.1552,0.1739,-0.0255,0.0627,0.0229,-0.2406,-0.1888,0.0757,-0.2931,-0.1652,0.0103,-3.6312,0.1021,0.6489
1,0.7904,-0.2461,-0.1584,-0.1376,-0.0557,0.1577,0.1941,0.8765,-0.2258,-0.0141,-0.0527,-0.0894,0.4343,0.729,0.2754,-0.0353,0.8895
2,-0.7834,-0.3266,0.035,0.4191,0.0311,-0.2265,-0.1877,-0.9127,-0.348,-0.0298,0.1219,0.1063,-0.8123,-0.7756,0.2754,0.1147,0.4692
3,0.1323,1.8152,0.3488,-0.9618,-0.0256,0.2577,-0.0053,0.3034,1.8039,0.2238,-0.2596,0.0743,1.3283,0.3063,0.2131,-0.2994,1.1489
