Model,AUC_ROC,Accuracy,Macro_F1,Recall_PreDiabetic,Recall_Diabetic,Brier,Inner_CV_AUC_Mean,Inner_CV_AUC_Std,Outer_AUC_Mean,Outer_AUC_Std,Median_PreDiabetic_Threshold,Median_Diabetic_Threshold,Selection_Score
Logistic Regression,0.6941718923971846,0.3873546511627907,0.3834340512013352,0.4726477024070022,0.7292418772563177,0.1951713442016438,0.6985661025616566,0.003216998519458107,0.6986288999426161,0.015088066948065249,0.25,0.3,0.6279592365269473
Random Forest,0.6814235827992345,0.36627906976744184,0.3561449755078246,0.49452954048140046,0.7220216606498195,0.1970709905921347,0.6880473896675076,0.007543307603463033,0.6860450322539582,0.008505754233402475,0.25,0.35,0.6273605747720771
