threshold_probability,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none
0.05,0.5088739290085679,0.5088739290085679,0.0
0.1,0.4804586563307493,0.4815891472868217,0.0
0.15000000000000002,0.4516928864569083,0.45109439124486994,0.0
0.2,0.41914970930232565,0.41678779069767435,0.0
0.25,0.3829941860465117,0.377906976744186,0.0
0.3,0.34572259136212624,0.3334717607973421,0.0
0.35000000000000003,0.3099843470483005,0.282200357781753,0.0
0.4,0.2747093023255814,0.22238372093023245,0.0
0.45,0.23665433403805497,0.15169133192389,0.0
0.5,0.19040697674418605,0.06686046511627897,0.0
0.55,0.14728682170542629,-0.03682170542635688,0.0
0.6000000000000001,0.10973837209302312,-0.16642441860465162,0.0
0.6500000000000001,0.0643687707641194,-0.33305647840531627,0.0
0.7000000000000001,0.03561046511627902,-0.5552325581395354,0.0
0.7500000000000001,0.006540697674418394,-0.866279069767443,0.0
0.8,-0.008720930232558183,-1.332848837209303,0.0
0.8500000000000001,-0.03173449612403112,-2.1104651162790717,0.0
0.9000000000000001,-0.06468023255813975,-3.665697674418612,0.0
