cohort,feature_set,n,n_features,mean_fold_roc_auc,sd_fold_roc_auc,mean_inner_auc,calibration_intercept,calibration_slope,aggregate_roc_auc,aggregate_pr_auc,aggregate_brier,aggregate_balanced_accuracy,aggregate_sensitivity,aggregate_specificity,aggregate_ppv,aggregate_npv,aggregate_f1,delta_mean_fold_auc_vs_reference,reference_feature_set
all_cycles,baseline_9,1376,9,0.7360233363012879,0.027686561378265025,0.735273375862531,0.1309316388204892,1.1940946544572855,0.7365776227219096,0.7342271222658865,0.20951414775033014,0.6691495411987403,0.7479564032697548,0.5903426791277259,0.6761083743842364,0.6719858156028369,0.7102199223803363,0.0,baseline_9
all_cycles,expanded_all_15,1376,15,0.7425695590129933,0.0413390004353111,0.7473032038867694,0.11033695489098981,1.052120763046694,0.7422988447206024,0.754641466110751,0.20597152038955457,0.6875567665758402,0.7084468664850136,0.6666666666666666,0.7084468664850136,0.6666666666666666,0.7084468664850136,0.006546222711705352,baseline_9
all_cycles,expanded_minus_crp,1376,14,0.7423363174871578,0.041274144946256565,0.7478676780195485,0.10882177667921823,1.0517757102996848,0.7422712572258016,0.7546826128383644,0.20594781794209246,0.683955537446841,0.7043596730245232,0.6635514018691588,0.7053206002728513,0.6625194401244168,0.7048398091342877,0.00631298118586987,baseline_9
all_cycles,expanded_minus_insulin,1376,14,0.7391232926359316,0.03729817478091839,0.7414003279751604,0.1022059189459779,1.063929687814955,0.7402573701053418,0.7463468459092788,0.20680079950751765,0.6870686801293642,0.715258855585831,0.6588785046728972,0.7056451612903226,0.6693037974683544,0.7104194857916104,0.003099956334643661,baseline_9
all_cycles,expanded_minus_total_cholesterol,1376,14,0.7450022485105481,0.036626004143269573,0.7470636175571047,0.10727042997656792,1.066694523795695,0.7443190981860162,0.7536399531448009,0.20548819513579233,0.6858038995984959,0.7111716621253406,0.660436137071651,0.7054054054054054,0.6666666666666666,0.7082767978290366,0.00897891220926017,baseline_9
all_cycles,expanded_minus_bmi,1376,14,0.7435030124503564,0.04070893383291005,0.747843158191286,0.10591285475049891,1.0271317880510904,0.7434278098924512,0.7587781926766881,0.20525309997198926,0.687947235733021,0.7029972752043597,0.6728971962616822,0.7107438016528925,0.6646153846153846,0.7068493150684931,0.007479676149068526,baseline_9
all_cycles,expanded_minus_waist,1376,14,0.7431372919524928,0.037689255612055356,0.7458419620538909,0.10894213343582657,1.0709532558579093,0.7418680553787126,0.7539493047585484,0.2062384205238254,0.6801569516242668,0.7138964577656676,0.6464174454828661,0.6977363515312917,0.664,0.7057239057239058,0.007113955651204873,baseline_9
crp_assayed_cycles,expanded_all_15,728,15,0.7653191101526983,0.02509504643067086,0.7620694559842764,-0.015226488400853265,1.112756490066021,0.7664312955480874,0.7502357593296156,0.19822065847115056,0.7252916965600573,0.7801608579088471,0.6704225352112676,0.7132352941176471,0.74375,0.7451984635083226,-0.000520713847369958,expanded_minus_crp
crp_assayed_cycles,expanded_minus_crp,728,14,0.7658398240000682,0.02462925183009399,0.7621131936551212,-0.015157849636175714,1.112541439355905,0.7663708794320885,0.7501366423834921,0.19823638019268372,0.7163840954574633,0.7426273458445041,0.6901408450704225,0.7157622739018088,0.718475073313783,0.7289473684210526,0.0,expanded_minus_crp
