comparison,cohort_n,eligible_valid_pair_n,excluded_missing_or_invalid_n,agreement_n,disagreement_n,agreement_pct,interpretation
DIQ010-only vs HbA1c-only,1376,1376,0,831,545,60.39244186046512,Independent source-agreement description; neither source is treated as a gold standard.
Hybrid operational label vs HbA1c-only,1376,1376,0,1295,81,94.11337209302324,Circular by construction because HbA1c is a component of the hybrid operational label; not validation evidence.
