group,profile,count,percentage,bmi,triglycerides,ldl,hdl,age,waist_circumference
No period in prior year (development),SIRD-like,77,10.490463215258854,32.25363636363636,335.15584415584414,109.53246753246754,41.72727272727273,54.506493506493506,107.65844155844157
No period in prior year (development),SIDD-like,199,27.111716621253407,29.010150753768848,148.25628140703517,166.14572864321607,52.005025125628144,54.949748743718594,98.6356783919598
No period in prior year (development),MOD-like,226,30.79019073569482,42.04641592920354,119.63716814159292,113.13274336283186,51.94690265486726,54.269911504424776,123.52610619469027
No period in prior year (development),MARD-like,232,31.607629427792915,28.248922413793103,97.78017241379311,102.55172413793103,62.400862068965516,55.422413793103445,94.98189655172415
Menstruating comparison,SIRD-like,17,7.35930735930736,32.07647058823529,324.2352941176471,109.70588235294117,38.8235294117647,47.705882352941174,102.58823529411765
Menstruating comparison,SIDD-like,57,24.675324675324674,29.057543859649122,148.43859649122808,166.3859649122807,52.68421052631579,49.3859649122807,96.26491228070176
Menstruating comparison,MOD-like,79,34.1991341991342,43.50848101265822,115.88607594936708,111.55696202531645,50.0,48.721518987341774,121.94936708860762
Menstruating comparison,MARD-like,78,33.76623376623377,28.37923076923077,82.67948717948718,102.82051282051282,63.19230769230769,49.217948717948715,93.35000000000001
