k,silhouette_weighted_geometry,davies_bouldin_weighted_geometry,calinski_harabasz_weighted_geometry,random_state,n_init
2,0.21760526222592197,1.660545969200588,209.03067008558224,42,10
3,0.20683675999428147,1.5582676465476382,193.2080925524167,42,10
4,0.20792131373852957,1.383367214437819,187.4294665629346,42,10
5,0.17608107754519606,1.4415339139712064,170.42361495912363,42,10
6,0.16321423194576923,1.4960109190987996,155.52674087251407,42,10
