seed,adjusted_rand_index,semantic_label_agreement
0,0.961048718051927,0.9850136239782016
1,0.961048718051927,0.9850136239782016
2,1.0,1.0
3,0.9689265073033297,0.989100817438692
4,0.9637691622343003,0.9877384196185286
5,0.9714590438040228,0.9904632152588556
6,0.9574392935017382,0.9850136239782016
7,0.9599511147372803,0.9863760217983651
8,0.9865283771239451,0.9945504087193461
9,0.9599511147372803,0.9863760217983651
10,0.9535827860358327,0.9836512261580381
11,0.9626168290502988,0.9863760217983651
12,0.9599511147372803,0.9863760217983651
13,0.9546515466957299,0.9836512261580381
14,0.9637691622343003,0.9877384196185286
15,0.9714590438040228,0.9904632152588556
16,0.961048718051927,0.9850136239782016
17,0.9707672646703889,0.989100817438692
18,0.9573183563323316,0.9850136239782016
19,0.9946749015653256,0.997275204359673
20,0.9599511147372803,0.9863760217983651
21,0.9707672646703889,0.989100817438692
22,0.9714590438040228,0.9904632152588556
23,0.9654295051719322,0.9877384196185286
24,0.9714590438040228,0.9904632152588556
25,0.9689265073033297,0.989100817438692
26,0.9781287735802473,0.9918256130790191
27,0.961048718051927,0.9850136239782016
28,0.9714590438040228,0.9904632152588556
29,0.9546515466957299,0.9836512261580381
