model,auc_mean,auc_sd,sensitivity_mean,sensitivity_sd,specificity_mean,specificity_sd,f1_mean,f1_sd
LightGBM,0.7117682312008798,0.017323995916981322,0.7242181210763269,0.06806194849010454,0.6030222296949743,0.07513023516440097,0.696444723318416,0.011105705650055676
Logistic Regression,0.7360233363012879,0.027686561378265,0.7475039118667685,0.07213450407777668,0.6052814280041964,0.09555212633054719,0.7107674209497059,0.02827127037963997
Random Forest,0.7164193944464584,0.018591392312583513,0.731944697012907,0.05095341042500104,0.6003874191185908,0.06212650432226591,0.7023744668174827,0.017376397558928378
XGBoost,0.7128597131600299,0.013189245787776348,0.7299573703821327,0.030918781307515294,0.5889288008381872,0.060922448031415125,0.6989895250947883,0.014161877206941969
