fold,held_out_cycle,inner_selected_model,selected_inner_cv_auc,selected_outer_auc
1,2009-2010,Logistic Regression,0.7388532141078659,0.710948310948311
2,2011-2012,Logistic Regression,0.7413630104532114,0.7134844322344323
3,2013-2014,Logistic Regression,0.7347532702766717,0.7356497668997669
4,2015-2016,Logistic Regression,0.7268663949072572,0.7876208007363094
5,2017-2018,Logistic Regression,0.733281834087898,0.7378936423054071
6,2021-2023,Logistic Regression,0.7365225313422812,0.7305430646835005
