model,comparison_mode,at_risk_threshold,target_sensitivity,sensitivity,specificity,ppv,npv,net_benefit,multiclass_auc_ovr_weighted,multiclass_macro_f1
Random Forest,matched_sensitivity,0.37000000000000005,0.9632152588555858,0.9618528610354223,0.14485981308411214,0.5625498007968127,0.768595041322314,0.27875830564784054,0.6765975941478949,0.3603933702015298
Logistic Regression,matched_sensitivity,0.33000000000000007,0.9632152588555858,0.9632152588555858,0.13395638629283488,0.5597783056215361,0.7610619469026548,0.3147887018396389,0.6791849123175946,0.36153373483114537
