Model,AUC_ROC,Accuracy,Macro_F1,Recall_PreDiabetic,Recall_Diabetic,Brier,Inner_CV_AUC_Mean,Inner_CV_AUC_Std,Outer_AUC_Mean,Outer_AUC_Std,Median_PreDiabetic_Threshold,Median_Diabetic_Threshold,Selection_Score,feature_set,n_features,added_feature
Logistic Regression,0.6911701530896931,0.39098837209302323,0.3855208145827291,0.4814004376367615,0.7545126353790613,0.2010047937065366,0.6975225723480252,0.0049532197278559,0.697570826582658,0.01956061639232029,0.25,0.375,0.6414608885586811,base+bmi_trig_interaction,14,bmi_trig_interaction
Logistic Regression,0.6903725589256787,0.3953488372093023,0.3892458880248784,0.5470459518599562,0.6931407942238267,0.2009308228689893,0.6980760251932668,0.0037009893428982476,0.6974436167755208,0.017365998084612314,0.25,0.39999999999999997,0.6335639491450885,base+ldl_hdl_ratio,14,ldl_hdl_ratio
Logistic Regression,0.6898215324462957,0.38444767441860467,0.37745529697409924,0.5142231947483589,0.7003610108303249,0.20094244303198963,0.6974631682884747,0.0031453360672392587,0.6969190799157915,0.01701517296256023,0.25,0.39999999999999997,0.6262664846361179,base,13,
Logistic Regression,0.6894038315212876,0.38880813953488375,0.38531809052247645,0.4989059080962801,0.7003610108303249,0.2010701167569647,0.6970741166961335,0.0026317497178993112,0.6964435824696625,0.01642496934035635,0.25,0.39999999999999997,0.6219808981329116,base+bmi_squared,14,bmi_squared
Logistic Regression,0.6892703481416221,0.39171511627906974,0.38564638172971405,0.5317286652078774,0.6895306859205776,0.20104317352777845,0.6968093723845294,0.00300199220747465,0.6958334158533633,0.016083906445351653,0.25,0.42499999999999993,0.6269437969414333,base+age_bmi_interaction,14,age_bmi_interaction
Logistic Regression,0.6892081261854145,0.3793604651162791,0.37078602623750084,0.5185995623632386,0.7003610108303249,0.20099426060997097,0.6967841916446051,0.0030286769700773888,0.6964725130941548,0.015987994812050342,0.25,0.39999999999999997,0.6271232501315758,base+age_systolic,14,age_systolic
Logistic Regression,0.6869763775601471,0.38372093023255816,0.3772050365202862,0.49452954048140046,0.7184115523465704,0.20207055197175205,0.6942994343835002,0.00435233833341797,0.6945704765076024,0.018848701599470174,0.25,0.375,0.6278995880384206,base+tg_log,14,tg_log
Logistic Regression,0.6864280575543186,0.37718023255813954,0.3722995036453541,0.4485776805251641,0.7436823104693141,0.20224086446660092,0.693445873313569,0.002454291827995954,0.6943955564957469,0.016988906138046204,0.25,0.35,0.6251309305618721,base+aip,14,aip
Logistic Regression,0.6846503730600471,0.38226744186046513,0.37562502945672444,0.5076586433260394,0.7075812274368231,0.20162636139198276,0.6889408124326777,0.007166703261362429,0.6929364519557887,0.01601518159341652,0.25,0.375,0.6264204714292279,base+non_hdl,14,non_hdl
