Model,AUC_ROC,Accuracy,Macro_F1,Recall_PreDiabetic,Recall_Diabetic,Brier,Inner_CV_AUC_Mean,Inner_CV_AUC_Std,Outer_AUC_Mean,Outer_AUC_Std,Median_PreDiabetic_Threshold,Median_Diabetic_Threshold,Selection_Score
Logistic Regression,0.6963716833048798,0.39244186046511625,0.3861020123639148,0.5295404814004376,0.7111913357400722,0.19424743719522972,0.7011103598315888,0.0029701090374094764,0.700854546462565,0.015823412634990066,0.25,0.32499999999999996,0.6374776827823355
Random Forest,0.677994418975199,0.3546511627906977,0.34317992561760907,0.47921225382932164,0.7111913357400722,0.1984142042102187,0.6839333473527313,0.00650515915054805,0.6805502111067593,0.013902737119657163,0.25,0.35,0.6165576573077493
LightGBM,0.6511546542565209,0.3859011627906977,0.3853043344968737,0.4026258205689278,0.7148014440433214,0.21092475318470671,0.6619864653563007,0.005086882522647153,0.6534523292381679,0.012806798317999567,0.25,0.25,0.5919445435663209
XGBoost,0.6803508992573886,0.4106104651162791,0.41177009679490234,0.5098468271334792,0.6064981949458483,0.19113374749819437,0.68685403302368,0.0066087889751798665,0.6827918379094217,0.01395236522587043,0.25,0.25,0.5825369205568984
