cluster,bmi,triglycerides,ldl,hdl,age,systolic,diastolic,bmi_category,tg_hdl_ratio,smoking_encoded,activity_encoded,alcohol_encoded,metabolic_syndrome_score,waist_circumference,family_history_diabetes,race_encoded,size,diabetic_rate
0,36.431,144.55,123.546,51.814,54.422,128.154,75.201,2.86,3.093,0.691,0.841,1.096,3.085,112.825,0.645,2.957,716,0.3058659217877095
1,25.276,97.923,126.456,66.418,54.782,119.871,71.136,1.559,1.656,0.612,1.026,1.17,1.308,89.222,0.553,3.273,660,0.08787878787878788
