threshold_probability,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none
0.05,0.5088739290085679,0.5088739290085679,0.0
0.1,0.48037790697674415,0.4815891472868217,0.0
0.15000000000000002,0.4518211354309165,0.45109439124486994,0.0
0.2,0.41842296511627913,0.41678779069767435,0.0
0.25,0.3820251937984496,0.377906976744186,0.0
0.30000000000000004,0.346656976744186,0.3334717607973421,0.0
0.35000000000000003,0.3081395348837209,0.282200357781753,0.0
0.4,0.27059108527131776,0.22238372093023245,0.0
0.45,0.23427589852008457,0.15169133192389,0.0
0.5,0.18604651162790697,0.06686046511627897,0.0
0.55,0.14203811369509034,-0.03682170542635688,0.0
0.6000000000000001,0.10828488372093009,-0.16642441860465162,0.0
0.65,0.062084717607973405,-0.33305647840531594,0.0
0.7000000000000001,0.030765503875968936,-0.5552325581395354,0.0
0.75,0.016715116279069797,-0.8662790697674421,0.0
0.8,-0.008720930232558183,-1.332848837209303,0.0
0.8500000000000001,-0.02156007751937994,-2.1104651162790717,0.0
0.9,-0.05014534883720932,-3.6656976744186056,0.0
