strategy,threshold,sensitivity,specificity,ppv,npv,accuracy,f1,prevalence,tp,fp,tn,fn
multiclass_argmax,,0.7697547683923706,0.5607476635514018,0.667060212514758,0.6805293005671077,0.6722383720930233,0.7147375079063883,0.5334302325581395,565,282,360,169
multiclass_tuned_thresholds,,0.9455040871934605,0.19626168224299065,0.5735537190082645,0.7590361445783133,0.5959302325581395,0.7139917695473251,0.5334302325581395,694,516,126,40
at_risk_probability_0.20,0.2,0.9931880108991825,0.045171339563862926,0.5432190760059612,0.8529411764705882,0.5508720930232558,0.7023121387283237,0.5334302325581395,729,613,29,5
at_risk_probability_0.30,0.3,0.9768392370572208,0.1292834890965732,0.5619122257053292,0.83,0.5813953488372093,0.7134328358208956,0.5334302325581395,717,559,83,17
at_risk_probability_0.40,0.4,0.944141689373297,0.2507788161993769,0.590289608177172,0.7970297029702971,0.6206395348837209,0.7264150943396226,0.5334302325581395,693,481,161,41
at_risk_probability_0.50,0.5,0.8760217983651226,0.397196261682243,0.6242718446601941,0.7369942196531792,0.6526162790697675,0.7290249433106576,0.5334302325581395,643,387,255,91
at_risk_probability_0.60,0.6,0.7588555858310627,0.5716510903426791,0.6694711538461539,0.6746323529411765,0.6715116279069767,0.7113665389527458,0.5334302325581395,557,275,367,177
