strategy,threshold,sensitivity,specificity,ppv,npv,accuracy,f1,prevalence,tp,fp,tn,fn
multiclass_argmax,,0.7656675749318801,0.5794392523364486,0.6754807692307693,0.6838235294117647,0.6787790697674418,0.7177522349936143,0.5334302325581395,562,270,372,172
multiclass_tuned_thresholds,,0.9673024523160763,0.14018691588785046,0.5625990491283677,0.7894736842105263,0.5813953488372093,0.7114228456913828,0.5334302325581395,710,552,90,24
at_risk_probability_0.20,0.2,1.0,0.003115264797507788,0.5342066957787481,1.0,0.5348837209302325,0.6963946869070209,0.5334302325581395,734,640,2,0
at_risk_probability_0.30,0.3,0.9904632152588556,0.05763239875389408,0.5457957957957958,0.8409090909090909,0.5552325581395349,0.7037754114230397,0.5334302325581395,727,605,37,7
at_risk_probability_0.40,0.4,0.9482288828337875,0.20249221183800623,0.5761589403973509,0.7738095238095238,0.6002906976744186,0.7167868177136972,0.5334302325581395,696,512,130,38
at_risk_probability_0.50,0.5,0.8841961852861036,0.38161993769470404,0.6204588910133844,0.7424242424242424,0.6497093023255814,0.7292134831460674,0.5334302325581395,649,397,245,85
at_risk_probability_0.60,0.6,0.7861035422343324,0.5467289719626168,0.6647465437788018,0.6909448818897638,0.6744186046511628,0.7203495630461922,0.5334302325581395,577,291,351,157
