iter	MultiClass
0	1.092085088
1	1.08516767
2	1.079005257
3	1.074040883
4	1.068543873
5	1.062464311
6	1.058110819
7	1.053823898
8	1.04943414
9	1.045103957
10	1.040935353
11	1.037831146
12	1.033269776
13	1.028971469
14	1.02541387
15	1.021579924
16	1.018917811
17	1.015725552
18	1.012623426
19	1.008961639
20	1.006385364
21	1.003521142
22	1.000966774
23	0.9986352012
24	0.996031482
25	0.9936969715
26	0.9914443401
27	0.9886216932
28	0.9863376459
29	0.9843546344
30	0.9822285142
31	0.9809315732
32	0.9795249376
33	0.977332901
34	0.9750467701
35	0.972536634
36	0.9705259408
37	0.9683176409
38	0.9664490727
39	0.9649616494
40	0.9633349516
41	0.9620994442
42	0.9604165788
43	0.9587302673
44	0.9569599089
45	0.9559829687
46	0.954795285
47	0.9531425698
48	0.9518429337
49	0.9505909842
50	0.9492828232
51	0.9480279079
52	0.9471102657
53	0.9458636584
54	0.9437440435
55	0.9424968053
56	0.9411622288
57	0.9395751554
58	0.9383936346
59	0.937468789
60	0.9366472483
61	0.9357110095
62	0.9344643963
63	0.9335941551
64	0.9326367274
65	0.9315730912
66	0.9304709349
67	0.9297399051
68	0.928997479
69	0.9277834924
70	0.926578164
71	0.9256905035
72	0.9247522994
73	0.9239598741
74	0.9233525432
75	0.9223863051
76	0.9212824751
77	0.9205239479
78	0.9195499997
79	0.9188166547
80	0.9177965165
81	0.9171768378
82	0.9163260103
83	0.9151963499
84	0.9143061805
85	0.9136366442
86	0.9129616485
87	0.9122111711
88	0.9115038614
89	0.9109454077
90	0.9103487307
91	0.9096711737
92	0.9089816869
93	0.9082298416
94	0.9076345763
95	0.9067309096
96	0.9059697611
97	0.9054106116
98	0.9047229824
99	0.9037301438
100	0.9029795362
101	0.902429769
102	0.9018187958
103	0.9010475295
104	0.900234069
105	0.8996919932
106	0.8988693964
107	0.8985526698
108	0.8981791633
109	0.8977794801
110	0.8972898219
111	0.8967605439
112	0.8962210046
113	0.8957413341
114	0.8951596474
115	0.8947811922
116	0.8940900818
117	0.8934859507
118	0.8927762992
119	0.8922262718
120	0.8917632962
121	0.8909944628
122	0.890441098
123	0.8898237211
124	0.8893886457
125	0.8887135851
126	0.8879899683
127	0.8873957573
128	0.8868188526
129	0.8861961052
130	0.8856454008
131	0.8851746616
132	0.8844771055
133	0.8840364743
134	0.8835969294
135	0.8831267838
136	0.8826902659
137	0.8822866642
138	0.8815666422
139	0.8811334475
140	0.8806030755
141	0.8803423109
142	0.8801635362
143	0.8795330299
144	0.8788769564
145	0.8784067714
146	0.8777160477
147	0.8773199488
148	0.8769124096
149	0.8764313448
150	0.875861883
151	0.8753188386
152	0.8749908832
153	0.8745742807
154	0.8739286493
155	0.8734482843
156	0.8729622252
157	0.872494985
158	0.8721794212
159	0.8717150156
160	0.87133225
161	0.8706771491
162	0.870289523
163	0.8698472653
164	0.8691373671
165	0.8685310912
166	0.8682850877
167	0.867882626
168	0.8672127096
169	0.8669329675
170	0.8666621702
171	0.8662072479
172	0.8656455263
173	0.8651437295
174	0.8648184382
175	0.8644687813
176	0.8641570161
177	0.8639215058
178	0.8636397184
179	0.8632411211
180	0.8627424767
181	0.8624676402
182	0.8621006636
183	0.8616087466
184	0.8610961203
185	0.8607002042
186	0.8603534621
187	0.8600672162
188	0.8598198052
189	0.8592116412
190	0.8588334449
191	0.8585074309
192	0.8581998706
193	0.857423412
194	0.8570977702
195	0.8568287999
196	0.8563446216
197	0.8559564247
198	0.8557433996
199	0.8553837488
200	0.8548589329
201	0.8542402073
202	0.8538747683
203	0.8534305508
204	0.8530230425
205	0.8525400348
206	0.8521711374
207	0.8518825334
208	0.8515428902
209	0.8511686434
210	0.850881156
211	0.8502324961
212	0.8499187266
213	0.8494080915
214	0.8488063653
215	0.8482867242
216	0.8480222278
217	0.8478019335
218	0.8473864306
219	0.8471171723
220	0.8465302625
221	0.8461056999
222	0.8456674068
223	0.8453143503
224	0.8450252101
225	0.8446751705
226	0.8442925704
227	0.8440315524
228	0.8438038183
229	0.8435837639
230	0.8432838754
231	0.8431440124
232	0.8429576512
233	0.8424812929
234	0.8419983747
235	0.8417338231
236	0.841504483
237	0.8412459744
238	0.8409462621
239	0.8406729626
240	0.8402697242
241	0.8398211846
242	0.8394708428
243	0.8391949267
244	0.8388816929
245	0.8383566565
246	0.8379545876
247	0.8374777854
248	0.8370909774
249	0.8368241735
