model,comparison_mode,at_risk_threshold,target_sensitivity,sensitivity,specificity,ppv,npv,net_benefit,multiclass_auc_ovr_weighted,multiclass_macro_f1
Random Forest,matched_sensitivity,0.36000000000000004,0.9673024523160763,0.9673024523160763,0.14330218068535824,0.5634920634920635,0.7931034482758621,0.2911518895348837,0.6853133498692116,0.3570974007449475
Logistic Regression,matched_sensitivity,0.33,0.9673024523160763,0.9659400544959128,0.16355140186915887,0.5690208667736758,0.8076923076923077,0.3230432141617493,0.6942328564635125,0.37334361374565533
