threshold_probability,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none
0.05,0.5088739290085679,0.5088739290085679,0.0
0.1,0.4815891472868217,0.4815891472868217,0.0
0.15000000000000002,0.45109439124486994,0.45109439124486994,0.0
0.2,0.41715116279069764,0.41678779069767435,0.0
0.25,0.38008720930232553,0.377906976744186,0.0
0.3,0.33990863787375414,0.3334717607973421,0.0
0.35000000000000003,0.2970706618962432,0.282200357781753,0.0
0.4,0.25775193798449614,0.22238372093023245,0.0
0.45,0.21544661733615222,0.15169133192389,0.0
0.5,0.18313953488372092,0.06686046511627897,0.0
0.55,0.14470284237726094,-0.03682170542635688,0.0
0.6000000000000001,0.10210755813953476,-0.16642441860465162,0.0
0.6500000000000001,0.06146179401993335,-0.33305647840531627,0.0
0.7000000000000001,0.018168604651162712,-0.5552325581395354,0.0
0.7500000000000001,-0.0021802325581396775,-0.866279069767443,0.0
0.8,-0.005813953488372131,-1.332848837209303,0.0
0.8500000000000001,-0.008720930232558169,-2.1104651162790717,0.0
0.9000000000000001,0.0,-3.665697674418612,0.0
