specification,k,centroid_id,n,share_percent,z_bmi,z_triglycerides,z_ldl,z_hdl,z_age,z_waist_circumference
core6_operational_positive_weighted,2,K02-C02,291,39.6457765667575,0.9105387731054112,-0.006914007806335944,-0.4023622447576075,-0.2684088320035749,-0.1433136274632863,0.9202473760394884
core6_operational_positive_weighted,2,K02-C01,443,60.3542234332425,-0.5981191489247772,0.004541707159466591,0.26430567319292037,0.17631370228677296,0.09414055438333227,-0.6044965833577559
core6_operational_positive_weighted,3,K03-C03,268,36.51226158038147,0.9743483082310147,-0.14925355196222057,-0.40770737804008317,-0.20836191374373222,-0.12475370531126394,0.962912760533398
core6_operational_positive_weighted,3,K03-C01,289,39.3732970027248,-0.6967874428440965,-0.44444767157279197,-0.15473556025481836,0.5585657173708736,0.16133334210416675,-0.7574855184072794
core6_operational_positive_weighted,3,K03-C02,177,24.114441416893733,-0.3375919526777949,0.9516685254825534,0.8699669730417214,-0.5965225956884865,-0.07452736070443819,-0.22117121470758094
core6_operational_positive_weighted,4,K04-C01,229,31.19891008174387,-0.5823174050168543,-0.49262073595245515,-0.5682714299103337,0.5682282368943582,0.12531057547845204,-0.6630552495506161
core6_operational_positive_weighted,4,K04-C04,225,30.65395095367847,1.0958784513480326,-0.2518574601715035,-0.27640244402468495,-0.17356743505083475,-0.12849498763988154,1.0737141972847546
core6_operational_positive_weighted,4,K04-C03,77,10.490463215258854,-0.12433540779337451,2.0997741686137976,-0.34975792439937026,-0.8753009500610892,-0.1187895315561829,0.08240630212196257
core6_operational_positive_weighted,4,K04-C02,203,27.656675749318797,-0.5105819675091607,0.038401310780483214,1.0800791504126697,-0.1166178335353016,0.04611844514400893,-0.47335629312987526
core6_operational_positive_weighted,5,K05-C04,64,8.71934604904632,-0.095963617804593,2.3388817947371554,-0.37111870944431896,-0.8443045471190136,-0.2088401550131807,0.11762175421667868
core6_operational_positive_weighted,5,K05-C01,112,15.258855585831062,-0.9683632202868826,-0.5924198591451868,-0.11125884037126664,1.3426638826829862,0.25769443660220304,-1.0674276064614288
core6_operational_positive_weighted,5,K05-C03,213,29.01907356948229,-0.07887141695071806,-0.2961900227149146,-0.6790016496652646,-0.123637811233386,0.012058674828515846,-0.09840038082259682
core6_operational_positive_weighted,5,K05-C02,187,25.47683923705722,-0.4696601218147793,0.12656139813167083,1.1185931498706498,-0.25819242033719486,0.029529142372990005,-0.4177627015951972
core6_operational_positive_weighted,5,K05-C05,158,21.525885558583106,1.3874962455790492,-0.2779488433624224,-0.17934797544994946,-0.13750650284247354,-0.14928135658750807,1.3361076327046375
core6_operational_positive_weighted,6,K06-C03,162,22.070844686648503,-0.2778383785001148,-0.23777351897989102,-0.9542743880360632,-0.13921078856148322,0.04949951937965715,-0.28246531693680577
core6_operational_positive_weighted,6,K06-C01,112,15.258855585831062,-0.9722499776038926,-0.5903823295505248,0.040162830565314576,1.31699009438753,0.27980508075459093,-1.0769537707338177
core6_operational_positive_weighted,6,K06-C04,158,21.525885558583106,0.5580972818340599,-0.310686871617582,0.2276172752864114,0.08798529383216304,-0.11479994697264502,0.5196489638627332
core6_operational_positive_weighted,6,K06-C06,93,12.670299727520437,1.684304037971564,-0.21161048132789786,-0.5634074539898378,-0.35980521654413306,-0.1422704736941635,1.6563224577233557
