specification,k,method,replicate,held_out_cycle,ari
core6_operational_positive_weighted,4,bootstrap_refit,4,,0.8510766852934037
core6_operational_positive_weighted,4,bootstrap_refit,5,,0.8935474588667067
core6_operational_positive_weighted,4,bootstrap_refit,6,,0.957757211855318
core6_operational_positive_weighted,4,bootstrap_refit,7,,0.8635770170365571
core6_operational_positive_weighted,4,bootstrap_refit,8,,0.8495315459518606
core6_operational_positive_weighted,4,bootstrap_refit,9,,0.8432963406325246
core6_operational_positive_weighted,4,bootstrap_refit,10,,0.8941617905939239
core6_operational_positive_weighted,4,bootstrap_refit,11,,0.8575891480955058
core6_operational_positive_weighted,4,bootstrap_refit,12,,0.9731346935029457
core6_operational_positive_weighted,4,bootstrap_refit,13,,0.929584634113098
core6_operational_positive_weighted,4,bootstrap_refit,14,,0.9049693634569379
core6_operational_positive_weighted,4,bootstrap_refit,15,,0.8624325652612936
core6_operational_positive_weighted,4,bootstrap_refit,16,,0.9201142150682387
core6_operational_positive_weighted,4,bootstrap_refit,17,,0.9154722884279893
core6_operational_positive_weighted,4,bootstrap_refit,18,,0.8340325655168789
core6_operational_positive_weighted,4,bootstrap_refit,19,,0.783914213627556
core6_operational_positive_weighted,4,bootstrap_refit,20,,0.8604339173324861
core6_operational_positive_weighted,4,bootstrap_refit,21,,0.8634882689435052
core6_operational_positive_weighted,4,bootstrap_refit,22,,0.9191618149945924
core6_operational_positive_weighted,4,bootstrap_refit,23,,0.8402309242037598
core6_operational_positive_weighted,4,bootstrap_refit,24,,0.8711876035834294
core6_operational_positive_weighted,4,bootstrap_refit,25,,0.876612718650637
core6_operational_positive_weighted,4,bootstrap_refit,26,,0.9148485517796805
core6_operational_positive_weighted,4,bootstrap_refit,27,,0.8752721463603143
core6_operational_positive_weighted,4,bootstrap_refit,28,,0.7796538435700477
core6_operational_positive_weighted,4,bootstrap_refit,29,,0.8972065392895918
core6_operational_positive_weighted,4,bootstrap_refit,30,,0.8973196127034384
core6_operational_positive_weighted,4,leave_cycle_out,1,2009-2010,0.9201434165395416
core6_operational_positive_weighted,4,leave_cycle_out,2,2011-2012,0.9003447532859298
core6_operational_positive_weighted,4,leave_cycle_out,3,2013-2014,0.9373052597909168
core6_operational_positive_weighted,4,leave_cycle_out,4,2015-2016,0.9357919071469876
core6_operational_positive_weighted,4,leave_cycle_out,5,2017-2018,0.913435397879188
core6_operational_positive_weighted,4,leave_cycle_out,6,2021-2023,0.9533098307096675
core6_operational_positive_weighted,5,bootstrap_refit,1,,0.7597642162913014
