cluster,bmi,triglycerides,ldl,hdl,age,systolic,diastolic,bmi_category,tg_hdl_ratio,smoking_encoded,activity_encoded,alcohol_encoded,metabolic_syndrome_score,waist_circumference,family_history_diabetes,race_encoded,size,diabetic_rate
0,31.581,102.011,124.043,61.383,55.309,123.723,73.957,2.255,1.895,0.5,0.979,1.0,2.032,101.674,0.0,3.234,94,0.13829787234042554
1,37.361,104.383,119.166,56.545,54.366,127.013,75.436,2.968,1.927,0.642,0.895,1.091,2.76,113.58,1.0,3.065,525,0.26476190476190475
2,24.854,98.557,126.218,65.745,54.722,120.114,71.139,1.475,1.668,0.629,1.009,1.179,1.246,88.656,1.0,3.25,569,0.0913884007029877
3,32.132,253.5,137.66,42.926,54.489,128.809,73.191,2.489,6.214,0.835,0.761,1.165,3.846,106.577,0.984,2.739,188,0.3882978723404255
