cluster,bmi,triglycerides,ldl,hdl,age,systolic,diastolic,bmi_category,tg_hdl_ratio,smoking_encoded,activity_encoded,alcohol_encoded,metabolic_syndrome_score,waist_circumference,family_history_diabetes,race_encoded,size,diabetic_rate
0,36.488,144.731,123.38,51.658,54.417,128.239,75.199,2.863,3.099,0.686,0.838,1.096,3.092,112.917,0.927,2.958,710,0.3084507042253521
1,25.315,98.15,126.607,66.453,54.784,119.854,71.176,1.568,1.662,0.619,1.027,1.17,1.317,89.336,0.932,3.269,666,0.08708708708708708
