specification,k,centroid_id,n,share_percent,cycle_counts,centroid_bmi,member_median_bmi,member_q1_bmi,member_q3_bmi,missing_percent_bmi,centroid_triglycerides,member_median_triglycerides,member_q1_triglycerides,member_q3_triglycerides,missing_percent_triglycerides,centroid_ldl,member_median_ldl,member_q1_ldl,member_q3_ldl,missing_percent_ldl,centroid_hdl,member_median_hdl,member_q1_hdl,member_q3_hdl,missing_percent_hdl,centroid_age,member_median_age,member_q1_age,member_q3_age,missing_percent_age,centroid_waist_circumference,member_median_waist_circumference,member_q1_waist_circumference,member_q3_waist_circumference,missing_percent_waist_circumference
core6_all_equal,11,K11-C07,136,9.883720930232558,"{""2009-2010"": 31, ""2011-2012"": 11, ""2013-2014"": 20, ""2015-2016"": 29, ""2017-2018"": 20, ""2021-2023"": 25}",33.38764705882353,33.105000000000004,30.025,36.45,1.4705882352941175,194.7279411764706,185.0,154.75,227.75,0.0,145.4485294117647,145.0,128.0,157.0,0.0,45.97794117647059,45.0,41.0,51.0,0.0,57.26470588235294,58.0,55.0,60.0,0.0,109.26617647058823,108.3,103.2,114.3,0.0
core6_all_equal,11,K11-C10,47,3.4156976744186043,"{""2009-2010"": 10, ""2011-2012"": 6, ""2013-2014"": 9, ""2015-2016"": 6, ""2017-2018"": 6, ""2021-2023"": 10}",30.715744680851063,29.9,27.1,33.72,0.0,416.5531914893617,373.0,326.5,474.5,0.0,109.72340425531915,99.5,76.75,114.25,40.42553191489361,42.234042553191486,40.0,35.0,47.5,0.0,54.51063829787234,55.0,53.0,57.0,0.0,104.30425531914894,103.0,97.1,111.0,4.25531914893617
core6_all_equal,11,K11-C09,133,9.665697674418606,"{""2009-2010"": 25, ""2011-2012"": 23, ""2013-2014"": 26, ""2015-2016"": 17, ""2017-2018"": 18, ""2021-2023"": 24}",37.67781954887218,37.3,34.3,41.0,0.0,135.47368421052633,122.5,91.5,172.0,2.2556390977443606,118.25563909774436,117.5,100.25,134.75,2.2556390977443606,47.53383458646616,47.5,40.0,53.0,2.2556390977443606,48.92481203007519,49.0,47.0,51.0,0.0,115.65225563909775,114.75,107.85000000000001,122.42500000000001,0.7518796992481203
core6_all_equal,11,K11-C06,77,5.59593023255814,"{""2009-2010"": 18, ""2011-2012"": 10, ""2013-2014"": 12, ""2015-2016"": 17, ""2017-2018"": 14, ""2021-2023"": 6}",29.10168831168831,28.88,27.17,30.8,0.0,160.7922077922078,164.0,115.0,197.0,0.0,191.68831168831167,183.0,170.0,199.0,0.0,50.831168831168824,50.0,46.0,56.0,0.0,51.84415584415584,52.0,50.0,54.0,0.0,98.77077922077922,99.75,92.5,103.1,1.2987012987012987
core6_all_equal,11,K11-C03,172,12.5,"{""2009-2010"": 27, ""2011-2012"": 21, ""2013-2014"": 31, ""2015-2016"": 33, ""2017-2018"": 23, ""2021-2023"": 37}",25.79360465116279,25.95,23.3,27.8,0.5813953488372093,94.43023255813952,87.0,66.0,114.5,5.232558139534884,97.45930232558139,99.0,80.0,113.0,5.232558139534884,58.93604651162791,60.0,53.0,66.0,4.069767441860465,57.418604651162795,58.0,56.0,60.0,0.0,90.2968023255814,90.8,84.9,95.7,0.5813953488372093
core6_all_equal,11,K11-C08,126,9.156976744186046,"{""2009-2010"": 16, ""2011-2012"": 13, ""2013-2014"": 22, ""2015-2016"": 17, ""2017-2018"": 24, ""2021-2023"": 34}",37.12444444444444,37.3,34.225,39.875,0.0,126.42063492063492,115.0,94.0,152.0,0.7936507936507936,88.14285714285714,89.0,78.0,100.0,0.7936507936507936,49.547619047619044,48.0,43.0,55.0,0.7936507936507936,56.76190476190476,57.0,55.0,59.0,0.0,114.97222222222223,115.3,108.4,121.625,4.761904761904762
core6_all_equal,11,K11-C05,169,12.281976744186046,"{""2009-2010"": 19, ""2011-2012"": 24, ""2013-2014"": 22, ""2015-2016"": 28, ""2017-2018"": 32, ""2021-2023"": 44}",33.599763313609465,33.05,30.765,36.324999999999996,2.9585798816568047,92.18343195266272,88.0,68.0,114.0,4.142011834319527,134.3905325443787,134.0,121.0,148.0,4.142011834319527,67.62130177514793,67.0,60.5,74.0,3.5502958579881656,56.30177514792899,56.0,54.0,59.0,0.0,107.18964497041421,105.85,101.1,113.44999999999999,4.142011834319527
core6_all_equal,11,K11-C04,159,11.555232558139535,"{""2009-2010"": 26, ""2011-2012"": 24, ""2013-2014"": 30, ""2015-2016"": 24, ""2017-2018"": 25, ""2021-2023"": 30}",26.48937106918239,26.5,23.5,29.1,1.257861635220126,88.34591194968553,82.5,63.75,103.0,4.40251572327044,115.83647798742139,118.0,101.0,135.0,4.40251572327044,60.35220125786164,60.0,53.0,68.0,4.40251572327044,49.18238993710692,49.0,47.0,51.0,0.0,90.79968553459119,91.75,83.92500000000001,97.625,3.1446540880503147
core6_all_equal,12,K12-C07,135,9.811046511627906,"{""2009-2010"": 27, ""2011-2012"": 15, ""2013-2014"": 17, ""2015-2016"": 28, ""2017-2018"": 25, ""2021-2023"": 23}",34.51814814814815,34.0,31.39,37.25,0.0,158.3777777777778,154.5,124.0,185.0,0.7407407407407408,150.94814814814816,149.5,135.0,162.75,0.7407407407407408,48.977777777777774,48.5,43.0,54.0,0.7407407407407408,57.837037037037035,58.0,56.0,60.0,0.0,110.39444444444445,109.6,103.85,115.775,0.7407407407407408
core6_all_equal,12,K12-C06,71,5.159883720930233,"{""2009-2010"": 17, ""2011-2012"": 9, ""2013-2014"": 11, ""2015-2016"": 15, ""2017-2018"": 13, ""2021-2023"": 6}",29.006338028169015,28.7,27.135,30.7,0.0,162.94366197183098,169.0,119.0,197.5,0.0,193.30985915492957,184.0,170.0,199.5,0.0,51.112676056338024,51.0,47.0,56.0,0.0,51.605633802816904,51.0,50.0,53.0,0.0,98.55704225352113,99.7,92.5,103.0,1.4084507042253522
