Feature,Found (TP) Mean,Missed (FN) Mean,Delta %
age,54.6271186440678,55.21052631578947,1.06798177572382
bmi,37.941694915254246,32.293684210526315,-14.88602635528857
triglycerides,180.1864406779661,121.3157894736842,-32.67207620216943
hba1c,7.494915254237288,7.842105263157893,4.632340688899976
