specification,k,method,replicate,held_out_cycle,ari
core6_all_equal,4,bootstrap_refit,17,,0.8452237552808176
core6_all_equal,4,bootstrap_refit,18,,0.8076921451119023
core6_all_equal,4,bootstrap_refit,19,,0.36722902876371427
core6_all_equal,4,bootstrap_refit,20,,0.7876738687208761
core6_all_equal,4,bootstrap_refit,21,,0.3545617975232763
core6_all_equal,4,bootstrap_refit,22,,0.8730388974928928
core6_all_equal,4,bootstrap_refit,23,,0.7498741252961584
core6_all_equal,4,bootstrap_refit,24,,0.34267472486390355
core6_all_equal,4,bootstrap_refit,25,,0.5358402882275037
core6_all_equal,4,bootstrap_refit,26,,0.8389777982629469
core6_all_equal,4,bootstrap_refit,27,,0.32235958605513787
core6_all_equal,4,bootstrap_refit,28,,0.35586548122762734
core6_all_equal,4,bootstrap_refit,29,,0.3477360204177371
core6_all_equal,4,bootstrap_refit,30,,0.847994027834889
core6_all_equal,4,leave_cycle_out,1,2009-2010,0.8653547083797617
core6_all_equal,4,leave_cycle_out,2,2011-2012,0.9190398436134115
core6_all_equal,4,leave_cycle_out,3,2013-2014,0.8348862674338153
core6_all_equal,4,leave_cycle_out,4,2015-2016,0.9001025010991431
core6_all_equal,4,leave_cycle_out,5,2017-2018,0.8255946346027331
core6_all_equal,4,leave_cycle_out,6,2021-2023,0.8624373231949887
core6_all_equal,5,bootstrap_refit,1,,0.7267925455626428
core6_all_equal,5,bootstrap_refit,2,,0.8073742211848793
core6_all_equal,5,bootstrap_refit,3,,0.7401069035310254
core6_all_equal,5,bootstrap_refit,4,,0.8414797916315613
core6_all_equal,5,bootstrap_refit,5,,0.5513200833091735
core6_all_equal,5,bootstrap_refit,6,,0.9408890363958555
core6_all_equal,5,bootstrap_refit,7,,0.8202560645062771
core6_all_equal,5,bootstrap_refit,8,,0.38762107268059254
core6_all_equal,5,bootstrap_refit,9,,0.7863471794373675
core6_all_equal,5,bootstrap_refit,10,,0.8502638289737477
core6_all_equal,5,bootstrap_refit,11,,0.7481468264959645
core6_all_equal,5,bootstrap_refit,12,,0.40834721721222234
core6_all_equal,5,bootstrap_refit,13,,0.7335309010607856
core6_all_equal,5,bootstrap_refit,14,,0.4350131977240929
core6_all_equal,5,bootstrap_refit,15,,0.7983477881851321
core6_all_equal,5,bootstrap_refit,16,,0.7917912153037804
core6_all_equal,5,bootstrap_refit,17,,0.6927501145100797
core6_all_equal,5,bootstrap_refit,18,,0.7908731712369792
core6_all_equal,5,bootstrap_refit,19,,0.6184150474893899
core6_all_equal,5,bootstrap_refit,20,,0.749960946263107
core6_all_equal,5,bootstrap_refit,21,,0.4094435851746102
core6_all_equal,5,bootstrap_refit,22,,0.8407761027020457
core6_all_equal,5,bootstrap_refit,23,,0.7932143639141443
core6_all_equal,5,bootstrap_refit,24,,0.7977021966401934
core6_all_equal,5,bootstrap_refit,25,,0.38932461106792754
core6_all_equal,5,bootstrap_refit,26,,0.7572165905287058
core6_all_equal,5,bootstrap_refit,27,,0.7779481840136048
core6_all_equal,5,bootstrap_refit,28,,0.8128783871025215
core6_all_equal,5,bootstrap_refit,29,,0.9095382532709768
core6_all_equal,5,bootstrap_refit,30,,0.8336197450607976
core6_all_equal,5,leave_cycle_out,1,2009-2010,0.903506253761935
core6_all_equal,5,leave_cycle_out,2,2011-2012,0.92075236760169
core6_all_equal,5,leave_cycle_out,3,2013-2014,0.8925889194295845
core6_all_equal,5,leave_cycle_out,4,2015-2016,0.9074103466536196
core6_all_equal,5,leave_cycle_out,5,2017-2018,0.9552766654349996
core6_all_equal,5,leave_cycle_out,6,2021-2023,0.9001818943591969
core6_all_equal,6,bootstrap_refit,1,,0.6668598199384654
core6_all_equal,6,bootstrap_refit,2,,0.8704247472860845
core6_all_equal,6,bootstrap_refit,3,,0.7891837653054377
core6_all_equal,6,bootstrap_refit,4,,0.8321894840763286
core6_all_equal,6,bootstrap_refit,5,,0.5546551330730015
core6_all_equal,6,bootstrap_refit,6,,0.8034423441202795
core6_all_equal,6,bootstrap_refit,7,,0.8460470946596019
core6_all_equal,6,bootstrap_refit,8,,0.7755402477887148
core6_all_equal,6,bootstrap_refit,9,,0.8523845269741099
core6_all_equal,6,bootstrap_refit,10,,0.8554369644669191
core6_all_equal,6,bootstrap_refit,11,,0.6943024608233926
core6_all_equal,6,bootstrap_refit,12,,0.6785199370760329
core6_all_equal,6,bootstrap_refit,13,,0.8873806681600838
core6_all_equal,6,bootstrap_refit,14,,0.7311038071652692
core6_all_equal,6,bootstrap_refit,15,,0.6039854069085586
core6_all_equal,6,bootstrap_refit,16,,0.7530431893419157
core6_all_equal,6,bootstrap_refit,17,,0.8254230854204346
core6_all_equal,6,bootstrap_refit,18,,0.8637244478400435
core6_all_equal,6,bootstrap_refit,19,,0.908692534559492
core6_all_equal,6,bootstrap_refit,20,,0.7927339823174981
core6_all_equal,6,bootstrap_refit,21,,0.8984579100381042
core6_all_equal,6,bootstrap_refit,22,,0.6527183154004125
core6_all_equal,6,bootstrap_refit,23,,0.9153691355879199
core6_all_equal,6,bootstrap_refit,24,,0.8961852376321848
core6_all_equal,6,bootstrap_refit,25,,0.8119563379819522
core6_all_equal,6,bootstrap_refit,26,,0.6979943737366407
core6_all_equal,6,bootstrap_refit,27,,0.5950194658073191
core6_all_equal,6,bootstrap_refit,28,,0.6095415248839258
core6_all_equal,6,bootstrap_refit,29,,0.7949282283928536
core6_all_equal,6,bootstrap_refit,30,,0.6834043353702411
core6_all_equal,6,leave_cycle_out,1,2009-2010,0.8854758298608819
core6_all_equal,6,leave_cycle_out,2,2011-2012,0.9863702058668089
core6_all_equal,6,leave_cycle_out,3,2013-2014,0.8601956043176009
core6_all_equal,6,leave_cycle_out,4,2015-2016,0.8473381594760158
core6_all_equal,6,leave_cycle_out,5,2017-2018,0.9077663641242588
core6_all_equal,6,leave_cycle_out,6,2021-2023,0.88175570024095
core6_all_equal,7,bootstrap_refit,1,,0.4613530332092273
core6_all_equal,7,bootstrap_refit,2,,0.8084784248613974
core6_all_equal,7,bootstrap_refit,3,,0.515673051205051
core6_all_equal,7,bootstrap_refit,4,,0.3897165679707026
core6_all_equal,7,bootstrap_refit,5,,0.8113271123676606
core6_all_equal,7,bootstrap_refit,6,,0.4871697267131311
core6_all_equal,7,bootstrap_refit,7,,0.3860994738468967
core6_all_equal,7,bootstrap_refit,8,,0.5284390020878684
core6_all_equal,7,bootstrap_refit,9,,0.5017530907585492
core6_all_equal,7,bootstrap_refit,10,,0.866074169829967
core6_all_equal,7,bootstrap_refit,11,,0.5198391595389521
core6_all_equal,7,bootstrap_refit,12,,0.7946800100208662
core6_all_equal,7,bootstrap_refit,13,,0.855614729385593
core6_all_equal,7,bootstrap_refit,14,,0.4179021722425277
core6_all_equal,7,bootstrap_refit,15,,0.4593159546017318
core6_all_equal,7,bootstrap_refit,16,,0.8616175730097041
core6_all_equal,7,bootstrap_refit,17,,0.3563710556726821
core6_all_equal,7,bootstrap_refit,18,,0.6366560636450616
core6_all_equal,7,bootstrap_refit,19,,0.3862439430012924
core6_all_equal,7,bootstrap_refit,20,,0.6225434542079088
core6_all_equal,7,bootstrap_refit,21,,0.7434815498738065
core6_all_equal,7,bootstrap_refit,22,,0.751510606254362
core6_all_equal,7,bootstrap_refit,23,,0.8406475569462505
core6_all_equal,7,bootstrap_refit,24,,0.7544903609078749
core6_all_equal,7,bootstrap_refit,25,,0.8447451385452909
core6_all_equal,7,bootstrap_refit,26,,0.41934143975266863
core6_all_equal,7,bootstrap_refit,27,,0.48523783465241666
core6_all_equal,7,bootstrap_refit,28,,0.37729874494074045
core6_all_equal,7,bootstrap_refit,29,,0.34295704314931075
core6_all_equal,7,bootstrap_refit,30,,0.8449896254256455
core6_all_equal,7,leave_cycle_out,1,2009-2010,0.5095723428702661
core6_all_equal,7,leave_cycle_out,2,2011-2012,0.9324442191501937
core6_all_equal,7,leave_cycle_out,3,2013-2014,0.5191717589792334
core6_all_equal,7,leave_cycle_out,4,2015-2016,0.9352017334039201
core6_all_equal,7,leave_cycle_out,5,2017-2018,0.9552808912030086
core6_all_equal,7,leave_cycle_out,6,2021-2023,0.9200343554944166
