Threshold,Sensitivity (Recall),Precision (PPV),Specificity
0.05,1.0,0.5178947368421053,0.004347826086956522
0.1,0.9878048780487805,0.5237068965517241,0.0391304347826087
0.15,0.983739837398374,0.5365853658536586,0.09130434782608696
0.2,0.9796747967479674,0.5604651162790698,0.1782608695652174
0.25,0.967479674796748,0.5734939759036145,0.23043478260869565
0.3,0.9512195121951219,0.5924050632911393,0.3
0.35,0.9308943089430894,0.6010498687664042,0.3391304347826087
0.39999999999999997,0.9065040650406504,0.6177285318559557,0.4
0.44999999999999996,0.8617886178861789,0.6347305389221557,0.46956521739130436
0.49999999999999994,0.8170731707317073,0.6442307692307693,0.5173913043478261
0.5499999999999999,0.7764227642276422,0.6563573883161512,0.5652173913043478
0.6,0.7479674796747967,0.6789667896678967,0.6217391304347826
0.65,0.6910569105691057,0.7083333333333334,0.6956521739130435
0.7,0.6463414634146342,0.7464788732394366,0.7652173913043478
0.75,0.540650406504065,0.764367816091954,0.8217391304347826
0.7999999999999999,0.45934959349593496,0.8248175182481752,0.8956521739130435
0.85,0.3780487804878049,0.8454545454545455,0.9260869565217391
0.9,0.26422764227642276,0.8783783783783784,0.9608695652173913
0.95,0.12601626016260162,0.9117647058823529,0.9869565217391304
